content,name,article
（２２）
火炎びんの使用等の処罰に関する法律第二条第一項に規定する罪
（２３）
貸金業法第四十七条第一号又は第二号に規定する罪
（２４）
麻薬特例法第六条第一項に規定する罪
（２５）
児童買春、児童ポルノに係る行為等の規制及び処罰並びに児童の保護等に関する法律第五条第一項、第六条第一項又は第七条第六項から第八項までに規定する罪
（２６）
組織的犯罪処罰法第三条第一項（同項第二号から第十号まで、第十二号、第十四号及び第十五号に係る部分に限る。）若しくは第二項（同条第一項第二号から第四号まで、第七号から第十号まで、第十二号、第十四号及び第十五号に係る部分に限る。）、第七条（同条第一項第一号から第三号までに係る部分に限る。）、第七条の二第二項、第九条第一項から第三項まで又は第十条第一項に規定する罪
（２７）
会社法（平成十七年法律第八十六号）第九百七十条第四項に規定する罪
ヘ
組織的犯罪処罰法第七条、第七条の二又は第九条から第十一条までに規定する罪
四十八
著作権等管理事業法（平成十二年法律第百三十一号）第二十九条第一号若しくは第二号又は第三十二条第一号に規定する罪
四十九
高齢者の居住の安定確保に関する法律（平成十三年法律第二十六号）第八十条第一号、第二号（第九条第一項及び第十一条第三項に係る部分に限る。）又は第三号（第十四条に係る部分に限る。）に規定する罪
五十
使用済自動車の再資源化等に関する法律（平成十四年法律第八十七号）第百三十八条第四号若しくは第五号又は第百四十条第二号（第六十三条第一項及び第七十一条第一項に係る部分に限る。）に規定する罪
五十一
インターネット異性紹介事業を利用して児童を誘引する行為の規制等に関する法律（平成十五年法律第八十三号）第三十一条（第十四条第二項に係る部分に限る。）、第三十二条第一号又は第三十四条第一号若しくは第二号に規定する罪
五十二
裁判外紛争解決手続の利用の促進に関する法律（平成十六年法律第百五十一号）第三十二条第一項（第五条に係る部分に限る。）又は第三項第一号（第八条に係る部分に限る。）若しくは第二号に規定する罪
五十三
信託業法（平成十六年法律第百五十四号）第九十一条第一号から第三号まで若しくは第七号から第九号まで、第九十三条第一号、第二号、第九号から第十二号まで、第二十二号、第二十三号、第二十七号若しくは第三十二号、第九十四条第五号、第九十六条第二号又は第九十七条第一号、第三号、第六号、第九号（第七十一条第一項に係る部分に限る。）、第十一号若しくは第十四号に規定する罪
五十四
会社法第九百七十条第二項から第四項までに規定する罪
五十五
探偵業の業務の適正化に関する法律（平成十八年法律第六十号）第十七条（第十五条第二項に係る部分に限る。）、第十八条第一号又は第十九条第一号若しくは第二号に規定する罪
五十六
犯罪による収益の移転防止に関する法律（平成十九年法律第二十二号）第二十八条に規定する罪
五十七
電子記録債権法（平成十九年法律第百二号）第九十五条第一号又は第九十七条第二号に規定する罪
五十八
資金決済に関する法律（平成二十一年法律第五十九号）第百七条第二号（第三十七条及び第六十三条の二に係る部分に限る。）、第五号、第七号若しくは第八号、第百九条第八号、第百十二条第二号（第三十八条第一項及び第二項並びに第六十三条の三第一項及び第二項に係る部分に限る。）又は第百十四条第一号（第四十一条第一項及び第六十三条の六第一項に係る部分に限る。）若しくは第七号（第七十七条に係る部分に限る。）に規定する罪
",確認事務の委託の手続等に関する規則,第三条
"
法第二十八条の三第五項に規定する利用料金（以下この条において「利用料金」という。）の上限に関する法第二十八条の三第六項の政令で定める基準は、次のとおりとする。
一
公社管理道路（法第二十八条の三第一項に規定する公社管理道路をいう。以下この条において同じ。）のうち次号に規定するもの以外のものについての利用料金の上限を定めようとするときには、当該公社管理道路の利用料金徴収総額（利用料金の徴収期間において徴収することとなる利用料金の額の合計額をいう。以下この項において同じ。）が、当該徴収期間の満了の日までに必要となる当該公社管理道路に係る第四項各号に掲げる費用の額の合計額から当該徴収期間の満了の日までに得ることとなる当該公社管理道路に係る第三項に規定する収入の額の合計額に相当する額を控除した額を超えない額とすること。
二
公社管理道路のうち道路整備特別措置法（昭和三十一年法律第七号）第十五条第一項の許可に係るものについての利用料金の上限を定めようとするときには、当該公社管理道路の利用料金徴収総額が、当該徴収期間の満了の日までに必要となる当該公社管理道路に係る第五項各号に掲げる費用の額の合計額から当該徴収期間の満了の日までに得ることとなる当該公社管理道路に係る第三項に規定する収入の額の合計額に相当する額を控除した額を超えない額とすること。
三
前二号の利用料金の上限を定めた後、当該利用料金の徴収期間を通じて、次のイからハまでに掲げる額が、当該利用料金の上限を定めようとするときにその算定の基礎とした当該イからハまでに定める額と著しく異ならないものであること。
イ
既に徴収した利用料金の額及び徴収することとなる利用料金の額の合計額
利用料金徴収総額
ロ
既に必要となった第四項各号又は第五項各号に掲げる費用の額及び必要となる当該費用の額の合計額
第一号又は前号の費用の額のそれぞれの合計額
ハ
既に得た第三項に規定する収入の額及び得ることとなる当該収入の額の合計額
第一号又は前号の収入の額のそれぞれの合計額
四
法第二十八条の三第十三項の規定により読み替えて適用する道路整備特別措置法第二十四条第一項本文の規定により自動車専用道路以外の公社管理道路を通行し、又は利用する車両（道路法（昭和二十七年法律第百八十号）第二条第五項に規定する車両をいう。以下この号において同じ。）から徴収する利用料金の上限は、道路（道路法第二条第一項に規定する道路をいう。以下この号において同じ。）の通行若しくは利用の距離若しくは時間の短縮、路面の改良、屈曲若しくは勾配の減少その他の道路の構造の改良又は通行若しくは利用の方法の変更に伴い、燃料費、油脂費、タイヤ及びチューブ費、修繕費、償却費並びに乗務員の人件費その他の車両の運転費、輸送費、旅行費、荷役費、積卸費、包装費その他の道路の通行又は利用に要する費用について、少なくとも次に掲げる車両の種類ごとに算定する通常節約することができる経費の額を超えないものであること。
イ
道路運送車両法（昭和二十六年法律第百八十五号）第三条に規定する普通自動車のうち、乗員定員十人以下のもの
ロ
道路運送車両法第三条に規定する普通自動車のうち、乗員定員十一人以上のもの
ハ
道路運送車両法第三条に規定する小型自動車
ニ
道路運送車両法第三条に規定する軽自動車
ホ
道路運送車両法第三条に規定する大型特殊自動車
ヘ
道路運送車両法第三条に規定する小型特殊自動車
ト
道路運送車両法第二条第三項に規定する原動機付自転車
チ
道路運送車両法第二条第四項に規定する軽車両
リ
イからチまでに掲げる車両以外の車両
五
法第二十八条の三第十三項の規定により読み替えて適用する道路整備特別措置法第二十四条第二項の規定により人から徴収する利用料金の上限は、少なくとも十二歳以上の者及び十二歳未満の者ごとに定めるものであること。
",構造改革特別区域法施行令,第五条
"
地方公共団体が、競輪場（自転車競技法（昭和二十三年法律第二百九号）第四条第五項の競輪場をいう。以下同じ。）に隣接するそのほかの地域における特性により、文教上及び保健衛生上著しい支障を来すおそれがなく、かつ、周辺環境と調和しているものとして、その設定する構造改革特別区域内において、小規模場外車券発売施設（自転車競技法第五条第一項に規定する競輪場外における車券の発売等の用に供する施設であって、当該施設の規模が経済産業大臣が告示で定める規模の上限の範囲内のもの。以下同じ。）を設置する必要があると認めて、法第四条第二項第二号に掲げる特定事業の内容として次に掲げる事項を記載し、同条第九項の規定による内閣総理大臣の認定を申請し、その認定を受けたときは、当該認定の日以後は、当該認定に係る小規模場外車券発売施設については、当該構造改革特別区域計画に記載されている次に掲げる事項及び経済産業大臣が告示で定める小規模場外車券発売施設が備えるべき事項に適合していることを当該地方公共団体が書面により確認した場合に限り、自転車競技法施行規則（平成十四年経済産業省令第九十七号）第十五条に規定する基準を満たしたものとみなす。
一
当該小規模場外車券発売施設の規模の上限
二
当該小規模場外車券発売施設を設置できる区域の範囲
",経済産業省関係構造改革特別区域法第二条第三項に規定する省令の特例に関する措置及びその適用を受ける特定事業を定める省令,第十六条
"
第二項第二号イ若しくはへに掲げる事業に関する事項又は同項第三号に掲げる事項には、都市公園における自転車駐車場、観光案内所その他の都市の居住者、来訪者又は滞在者の利便の増進に寄与する施設等であって政令で定めるものの設置（都市公園の環境の維持及び向上を図るための清掃その他の措置であって当該施設等の設置に伴い必要となるものが併せて講じられるものに限る。）に関する事項を記載することができる。
",都市再生特別措置法,第四十六条１２
"
法第四十六条第十項の政令で定める施設等は、次に掲げるものとする。
一
広告塔又は看板で良好な景観の形成又は風致の維持に寄与するもの
二
食事施設、購買施設その他これらに類する施設で道路の通行者又は利用者の利便の増進に資するもの
三
道路法施行令（昭和二十七年政令第四百七十九号）第十一条の九第一項に規定する自転車駐車器具で自転車を賃貸する事業の用に供するもの
",都市再生特別措置法施行令,第十六条
"
法第四十六条第十二項の政令で定める施設等は、次に掲げるものとする。
一
自転車駐車場で自転車を賃貸する事業の用に供するもの
二
観光案内所
三
路線バス（主として一の市町村の区域内において運行するものに限る。）の停留所のベンチ又は上家
四
都市公園法（昭和三十一年法律第七十九号）第七条第六号に掲げる仮設工作物
",都市再生特別措置法施行令,第十七条
"
法第六十二条第一項第三号の政令で定める基準は、第十六条第一号に掲げる施設等については、次のとおりとする。
一
自転車道、自転車歩行者道又は歩道上に設ける場合においては、道路の構造からみて道路の構造又は交通に著しい支障のない場合を除き、当該施設等を設けたときに自転車又は歩行者が通行することができる部分の一方の側の幅員が、国道にあっては道路構造令（昭和四十五年政令第三百二十号）第十条第三項本文、第十条の二第二項又は第十一条第三項に規定する幅員、都道府県道又は市町村道（道路法第三条第四号の市町村道をいう。）にあってはこれらの規定に規定する幅員を参酌して同法第三十条第三項の条例で定める幅員であること。
二
広告塔又は看板の表示部分を車両（道路交通法（昭和三十五年法律第百五号）第二条第一項第八号に規定する車両をいう。）の運転者から見えにくくするための措置が講ぜられていること。
",都市再生特別措置法施行令,第二十一条
"
法第六十二条の二の政令で定める技術的基準は、次のとおりとする。
一
法第四十六条第十二項の施設等（以下この条において「居住者等利便増進施設」という。）の外観及び配置は、できる限り都市公園の風致及び美観その他都市公園としての機能を害しないものとすること。
二
地上に設ける居住者等利便増進施設の構造は、倒壊、落下その他の事由による危険を防止する措置を講ずることその他の公園施設（都市公園法第二条第二項に規定する公園施設をいう。以下この条において同じ。）の保全又は公衆の都市公園の利用に支障を及ぼさないものとすること。
三
地下に設ける居住者等利便増進施設の構造は、堅固で耐久力を有するとともに、公園施設の保全、他の占用物件（都市公園法施行令第十三条第一号に規定する占用物件をいう。）の構造又は公衆の都市公園の利用に支障を及ぼさないものとすること。
四
居住者等利便増進施設のうち、第十七条第一号に掲げる自転車駐車場にあってはその敷地面積が三十平方メートル以内、同条第二号に掲げる観光案内所にあってはその建築面積が五十平方メートル以内、同条第三号に掲げる停留所の上家にあってはその建築面積が二十平方メートル以内であること。
五
居住者等利便増進施設の占用に関する工事は、次に掲げるところによること。
イ
当該工事によって公衆の都市公園の利用に支障を及ぼさないようできる限り必要な措置を講ずること。
ロ
工事現場には、柵又は覆いを設け、夜間は赤色灯をつけ、その他公衆の都市公園の利用に伴う危険を防止するため必要な措置を講ずること。
ハ
工事の時期は、公園施設に関する工事又は他の占用に関する工事の時期を勘案して適当な時期とし、かつ、公衆の都市公園の利用に著しく支障を及ぼさない時期とすること。
",都市再生特別措置法施行令,第二十二条
"
自動車運転代行業の業務の適正化に関する法律（以下「法」という。）第三条第四号の国家公安委員会規則で定める行為は、次の各号に掲げる罪のいずれかに当たる行為とする。
一
爆発物取締罰則（明治十七年太政官布告第三十二号）第一条から第三条までに規定する罪
二
刑法（明治四十年法律第四十五号）第九十五条、第九十六条の二から第九十六条の四まで、第九十六条の五（第九十六条の二から第九十六条の四までに係る部分に限る。）、第九十六条の六第一項、第百三条、第百四条、第百五条の二、第百七十五条、第百七十七条、第百七十九条第二項、第百八十条（第百七十七条及び第百七十九条第二項に係る部分に限る。以下この号において同じ。）、第百八十一条第二項（第百七十七条、第百七十九条第二項及び第百八十条に係る部分に限る。）、第百八十五条から第百八十七条まで、第百九十九条、第二百一条、第二百三条（第百九十九条に係る部分に限る。）、第二百四条、第二百五条、第二百八条、第二百八条の二、第二百二十条から第二百二十三条まで、第二百二十五条から第二百二十六条の三まで、第二百二十七条第一項（第二百二十五条及び第二百二十六条から第二百二十六条の三までに係る部分に限る。以下この号において同じ。）から第四項まで、第二百二十八条（第二百二十五条、第二百二十五条の二第一項、第二百二十六条から第二百二十六条の三まで並びに第二百二十七条第一項から第三項まで及び第四項前段に係る部分に限る。）、第二百二十八条の三、第二百三十四条、第二百三十五条の二から第二百三十七条まで、第二百四十条（第二百三十六条に係る部分に限る。以下この号において同じ。）、第二百四十一条第一項（第二百三十六条に係る部分に限る。）若しくは第三項（第二百三十六条に係る部分に限る。以下この号において同じ。）、第二百四十三条（第二百三十五条の二、第二百三十六条、第二百四十条及び第二百四十一条第三項に係る部分に限る。）、第二百四十九条、第二百五十条（第二百四十九条に係る部分に限る。）又は第二百五十八条から第二百六十一条までに規定する罪
三
暴力行為等処罰に関する法律（大正十五年法律第六十号）に規定する罪
四
盗犯等の防止及び処分に関する法律（昭和五年法律第九号）第二条（刑法第二百三十六条及び第二百四十三条（第二百三十六条に係る部分に限る。以下この号において同じ。）に係る部分に限る。）、第三条（刑法第二百三十六条及び第二百四十三条に係る部分に限る。）又は第四条（刑法第二百三十六条に係る部分に限る。）に規定する罪
五
労働基準法（昭和二十二年法律第四十九号）第百十七条又は第百十八条第一項（第六条及び第五十六条に係る部分に限る。）に規定する罪
六
職業安定法（昭和二十二年法律第百四十一号）第六十三条、第六十四条第一号、第一号の二（第三十条第一項、第三十二条の六第二項（第三十三条第四項において準用する場合を含む。）及び第三十三条第一項に係る部分に限る。）、第四号、第五号若しくは第九号又は第六十六条第一号若しくは第三号に規定する罪
七
児童福祉法（昭和二十二年法律第百六十四号）第六十条第一項又は第二項（第三十四条第一項第四号の二、第五号、第七号及び第九号に係る部分に限る。）に規定する罪
八
金融商品取引法（昭和二十三年法律第二十五号）第百九十七条の二第十号の四、第十号の五、第十号の八若しくは第十号の九、第百九十八条第一号、第三号、第三号の三、第四号、第四号の二、第六号、第六号の二若しくは第七号、第百九十八条の四、第百九十八条の五第二号の二（第五十七条の二十第一項に係る部分に限る。）、第百九十八条の六第一号（第二十九条の二第一項から第三項まで、第五十九条の二第一項及び第三項、第六十条の二第一項及び第三項、第六十六条の二、第六十六条の二十八、第六十六条の五十一、第八十一条、第百二条の十五、第百六条の十一、第百五十五条の二、第百五十六条の三、第百五十六条の二十の三、第百五十六条の二十の十七、第百五十六条の二十四第二項から第四項まで並びに第百五十六条の四十に係る部分に限る。）若しくは第十一号の五、第二百条第十三号若しくは第十七号（第百六条の三第一項及び第四項、第百六条の十七第一項及び第三項並びに第百五十六条の五の五第一項及び第四項に係る部分に限る。）、第二百五条第九号、第十三号（第百六条の三第三項（第百六条の十第四項及び第百六条の十七第四項において準用する場合を含む。）及び第百五十六条の五の五第三項に係る部分に限る。）若しくは第十六号、第二百五条の二の三第一号（第三十一条第一項、第五十七条の十四、第六十条の五第一項、第六十三条第八項（第六十三条の三第二項において準用する場合を含む。）、第六十六条の五第一項、第六十六条の三十一第一項、第六十六条の五十四第一項及び第百五十六条の五十五第一項に係る部分に限る。）、第二号（第三十一条の三及び第六十六条の六に係る部分に限る。）若しくは第四号（第三十六条の二第二項及び第六十六条の八第二項に係る部分に限る。）又は第二百六条第二号（第百四十九条第二項前段（第百五十三条の四において準用する場合を含む。）及び第百五十五条の七に係る部分に限る。）、第八号（第百五十六条の十三に係る部分に限る。）、第九号の二（第百五十六条の二十の十一及び第百五十六条の二十の二十一第二項に係る部分に限る。）若しくは第十号（第百五十六条の二十八第三項に係る部分に限る。）に規定する罪
九
風俗営業等の規制及び業務の適正化等に関する法律（昭和二十三年法律第百二十二号）第四十九条第五号若しくは第六号、第五十条第一項第四号（第二十二条第一項第三号及び第四号（第三十一条の二十三及び第三十二条第三項において準用する場合を含む。）に係る部分に限る。）、第五号（第二十八条第十二項第三号に係る部分に限る。）、第六号、第八号（第三十一条の十三第二項第三号及び第四号に係る部分に限る。）、第九号若しくは第十号又は第五十二条第一号に規定する罪
十
大麻取締法（昭和二十三年法律第百二十四号）第二十四条、第二十四条の二、第二十四条の四、第二十四条の六又は第二十四条の七に規定する罪
十一
船員職業安定法（昭和二十三年法律第百三十号）第百十二条第二号（第五十五条第一項及び第六十条第二項に係る部分に限る。）若しくは第六号又は第百十四条第二号若しくは第三号（第六十一条第一項に係る部分に限る。）に規定する罪
十二
競馬法（昭和二十三年法律第百五十八号）第三十条第三号又は第三十三条第二号に規定する罪
十三
自転車競技法（昭和二十三年法律第二百九号）第五十六条第二号又は第五十八条第三号に規定する罪
十四
建設業法（昭和二十四年法律第百号）第四十七条第一項第一号若しくは第三号又は第五十条第一項第一号、第二号（第十一条第一項及び第三項（第十七条において準用する場合を含む。）に係る部分に限る。）若しくは第三号に規定する罪
十五
弁護士法（昭和二十四年法律第二百五号）第七十七条第三号又は第四号に規定する罪
十六
火薬類取締法（昭和二十五年法律第百四十九号）第五十八条第一号から第四号まで又は第五十九条第二号（第二十一条に係る部分に限る。）、第四号若しくは第五号に規定する罪
十七
小型自動車競走法（昭和二十五年法律第二百八号）第六十一条第二号又は第六十三条第三号に規定する罪
十八
毒物及び劇物取締法（昭和二十五年法律第三百三号）第二十四条第一号（第三条に係る部分に限る。）に規定する罪
十九
港湾運送事業法（昭和二十六年法律第百六十一号）第三十四条第一号に規定する罪
二十
投資信託及び投資法人に関する法律（昭和二十六年法律第百九十八号）第二百四十五条第三号又は第二百四十六条第一号（第百九十一条第一項に係る部分に限る。）若しくは第八号に規定する罪
二十一
モーターボート競走法（昭和二十六年法律第二百四十二号）第六十五条第二号又は第六十八条第三号に規定する罪
二十二
覚せヽ

いヽ
剤取締法（昭和二十六年法律第二百五十二号）第四十一条、第四十一条の二、第四十一条の三第一項第一号、第三号若しくは第四号、第二項（同条第一項第一号、第三号及び第四号に係る部分に限る。）若しくは第三項（同条第一項第一号、第三号及び第四号並びに第二項（同条第一項第一号、第三号及び第四号に係る部分に限る。）に係る部分に限る。）、第四十一条の四第一項第三号から第五号まで、第二項（同条第一項第三号から第五号までに係る部分に限る。）若しくは第三項（同条第一項第三号から第五号まで及び第二項（同条第一項第三号から第五号までに係る部分に限る。）に係る部分に限る。）、第四十一条の六、第四十一条の七、第四十一条の九から第四十一条の十一まで又は第四十一条の十三に規定する罪
二十三
旅券法（昭和二十六年法律第二百六十七号）第二十三条第一項第一号、第二項（同条第一項第一号に係る部分に限る。以下この号において同じ。）又は第三項（同条第一項第一号及び第二項に係る部分に限る。）に規定する罪
二十四
出入国管理及び難民認定法（昭和二十六年政令第三百十九号）第七十四条から第七十四条の六まで、第七十四条の六の二第一項第一号若しくは第二号若しくは第二項、第七十四条の六の三（第七十四条の六の二第一項第一号及び第二号並びに第二項に係る部分に限る。）又は第七十四条の八に規定する罪
二十五
宅地建物取引業法（昭和二十七年法律第百七十六号）第七十九条第一号若しくは第二号、第八十二条第一号、第二号（第十二条第二項に係る部分に限る。）若しくは第三号又は第八十三条第一項第一号（第九条及び第五十三条（第六十三条の三第二項において準用する場合を含む。）に係る部分に限る。）に規定する罪
二十六
酒税法（昭和二十八年法律第六号）第五十四条第一項若しくは第二項又は第五十六条第一項第一号、第五号若しくは第七号に規定する罪
二十七
麻薬及び向精神薬取締法（昭和二十八年法律第十四号）第六十四条から第六十五条まで、第六十六条（小分け、譲渡し、譲受け及び所持に係る部分に限る。）又は第六十七条から第六十八条の二までに規定する罪
二十八
武器等製造法（昭和二十八年法律第百四十五号）第三十一条、第三十一条の二又は第三十一条の三第一号若しくは第四号に規定する罪
二十九
出資の受入れ、預り金及び金利等の取締りに関する法律（昭和二十九年法律第百九十五号）第五条に規定する罪
三十
売春防止法（昭和三十一年法律第百十八号）第六条、第七条第二項若しくは第三項（同条第二項に係る部分に限る。）、第八条第一項（第七条第二項に係る部分に限る。）又は第十条から第十三条までに規定する罪
三十一
銃砲刀剣類所持等取締法（昭和三十三年法律第六号）第三十一条から第三十一条の四まで、第三十一条の七から第三十一条の九まで、第三十一条の十一第一項第一号若しくは第二号若しくは第二項、第三十一条の十二、第三十一条の十三、第三十一条の十五、第三十一条の十六第一項第一号から第三号まで若しくは第二項、第三十一条の十七、第三十一条の十八第一号若しくは第三号、第三十二条第一号、第三号若しくは第四号又は第三十五条第二号（第二十二条の二第一項及び第二十二条の四に係る部分に限る。）に規定する罪
三十二
割賦販売法（昭和三十六年法律第百五十九号）第四十九条第二号若しくは第三号又は第五十三条の二第二号に規定する罪
三十三
著作権法（昭和四十五年法律第四十八号）第百十九条第二項第三号に規定する罪
三十四
廃棄物の処理及び清掃に関する法律（昭和四十五年法律第百三十七号）第二十五条第一項第一号、第二号、第八号、第九号、第十三号若しくは第十四号若しくは第二項（同条第一項第十四号に係る部分に限る。）、第二十六条第三号、第四号若しくは第六号（第二十五条第一項第十四号に係る部分に限る。）、第二十九条第一号（第七条の二第四項（第十四条の二第三項及び第十四条の五第三項において読み替えて準用する場合を含む。）及び第九条第六項（第十五条の二の六第三項において読み替えて準用する場合を含む。）に係る部分に限る。）又は第三十条第二号（第七条の二第三項（第十四条の二第三項及び第十四条の五第三項において準用する場合を含む。）、第九条第三項（第十五条の二の六第三項において準用する場合を含む。）及び第九条の七第二項（第十五条の四において準用する場合を含む。）に係る部分に限る。）に規定する罪
三十五
火炎びんの使用等の処罰に関する法律（昭和四十七年法律第十七号）第二条又は第三条に規定する罪
三十六
建設労働者の雇用の改善等に関する法律（昭和五十一年法律第三十三号）第四十九条第一号又は第五十一条第四号若しくは第六号に規定する罪
三十七
銀行法（昭和五十六年法律第五十九号）第六十一条第一号、第六十二条の二第一号又は第六十三条の三第二号（第五十二条の七十八第一項に係る部分に限る。）に規定する罪
三十八
貸金業法（昭和五十八年法律第三十二号）第四十七条第一号若しくは第二号、第四十七条の三第一項第一号、第二号（第十一条第二項に係る部分に限る。）若しくは第三号、第四十八条第一項第一号の三（第二十四条第二項、第二十四条の二第二項、第二十四条の三第二項、第二十四条の四第二項及び第二十四条の五第二項において準用する第十二条の七に係る部分に限る。）、第三号の三（第二十四条第二項、第二十四条の二第二項、第二十四条の三第二項、第二十四条の四第二項及び第二十四条の五第二項において準用する第十六条の三第一項に係る部分に限る。）、第四号の二、第五号（第二十四条第二項、第二十四条の二第二項、第二十四条の三第二項、第二十四条の四第二項及び第二十四条の五第二項において準用する第二十条第四項に係る部分に限る。）、第五号の二、第五号の三若しくは第九号の八、第四十九条第七号、第五十条第一項第一号（第八条第一項に係る部分に限る。）若しくは第二号又は第五十条の二第六号（第四十一条の五十五第一項に係る部分に限る。）に規定する罪
三十九
労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律（昭和六十年法律第八十八号）第五十九条第一号（第四条第一項に係る部分に限る。）から第三号まで又は第六十一条第一号若しくは第二号（第十一条第一項に係る部分に限る。）に規定する罪
四十
港湾労働法（昭和六十三年法律第四十号）第四十八条第一号又は第五十一条第二号（第十八条第二項において準用する第十二条第二項に規定する申請書及び第十八条第二項において準用する第十二条第三項に規定する書類に係る部分を除く。）若しくは第三号（第十九条第一項に係る部分に限る。）に規定する罪
四十一
国際的な協力の下に規制薬物に係る不正行為を助長する行為等の防止を図るための麻薬及び向精神薬取締法等の特例等に関する法律（平成三年法律第九十四号。以下この号及び第四十七号において「麻薬特例法」という。）第三章に規定する罪のうち、次に掲げる罪
イ
麻薬特例法第五条に規定する罪のうち、次に掲げる行為に係る罪
（１）
大麻取締法第二十四条又は第二十四条の二に規定する罪に当たる行為をすること。
（２）
覚せヽいヽ
剤取締法第四十一条又は第四十一条の二に規定する罪に当たる行為をすること。
（３）
麻薬及び向精神薬取締法第六十四条、第六十四条の二若しくは第六十五条又は第六十六条（小分け、譲渡し及び譲受けに係る部分に限る。）に規定する罪に当たる行為をすること。
ロ
麻薬特例法第六条又は第七条に規定する罪
ハ
麻薬特例法第八条第一項に規定する罪のうち、次に掲げる罪に係る罪
（１）
イ又はホに掲げる罪
（２）
大麻取締法第二十四条に規定する罪
（３）
覚せヽいヽ
剤取締法第四十一条に規定する罪
（４）
麻薬及び向精神薬取締法第六十四条又は第六十五条に規定する罪
ニ
麻薬特例法第八条第二項に規定する罪のうち、次に掲げる罪に係る罪
（１）
イ又はホに掲げる罪
（２）
大麻取締法第二十四条の二に規定する罪
（３）
覚せヽいヽ
剤取締法第四十一条の二に規定する罪
（４）
麻薬及び向精神薬取締法第六十四条の二又は第六十六条に規定する罪
ホ
麻薬特例法第九条に規定する罪のうち、次に掲げる罪に係る罪
（１）
イ又はロに掲げる罪
（２）
大麻取締法第二十四条、第二十四条の二、第二十四条の四、第二十四条の六又は第二十四条の七に規定する罪
（３）
覚せヽいヽ
剤取締法第四十一条、第四十一条の二、第四十一条の六、第四十一条の九又は第四十一条の十一に規定する罪
（４）
麻薬及び向精神薬取締法第六十四条、第六十四条の二、第六十五条、第六十六条（小分け、譲渡し、譲受け及び所持に係る部分に限る。）又は第六十七条から第六十八条の二までに規定する罪
四十二
不動産特定共同事業法（平成六年法律第七十七号）第七十七条第一号、第二号若しくは第五号から第七号まで、第八十二条第一号若しくは第五号又は第八十四条第一号（第五十八条第四項に係る部分を除く。）若しくは第三号に規定する罪
四十三
保険業法（平成七年法律第百五号）第三百十五条第六号、第三百十五条の二第四号から第六号（第二百七十二条の三十五第五項に係る部分に限る。）まで、第三百十六条の三第一号、第三百十七条の二第三号、第三百十九条第九号又は第三百二十条第九号（第三百八条の十八第一項に係る部分に限る。）に規定する罪
四十四
資産の流動化に関する法律（平成十年法律第百五号）第二百九十四条第一号（第四条第一項に係る部分に限る。）、第三号若しくは第十二号（第四条第二項から第四項まで（これらの規定を第十一条第五項において準用する場合を除く。）及び第九条第二項（第二百二十七条第二項において準用する場合を除く。）に係る部分に限る。）又は第二百九十五条第二号（第二百九条第二項（第二百八十六条第一項において準用する場合を含む。）において準用する第二百十九条の規定による命令に係る部分を除く。）に規定する罪
四十五
債権管理回収業に関する特別措置法（平成十年法律第百二十六号）第三十三条第一号若しくは第二号、第三十四条第一号若しくは第三号又は第三十五条第一号、第二号、第五号、第六号若しくは第八号に規定する罪
四十六
児童買春、児童ポルノに係る行為等の規制及び処罰並びに児童の保護等に関する法律（平成十一年法律第五十二号）第五条、第六条、第七条第二項から第八項まで又は第八条に規定する罪
四十七
組織的な犯罪の処罰及び犯罪収益の規制等に関する法律（平成十一年法律第百三十六号。以下この号において「組織的犯罪処罰法」という。）第二章に規定する罪のうち、次に掲げる罪
イ
組織的犯罪処罰法第三条第一項に規定する罪のうち、同項第二号から第十号まで、第十二号、第十四号又は第十五号に規定する罪に当たる行為に係る罪
ロ
組織的犯罪処罰法第三条第二項に規定する罪のうち、同条第一項第二号から第四号まで、第七号から第十号まで、第十二号、第十四号又は第十五号に規定する罪に係る罪
ハ
組織的犯罪処罰法第四条に規定する罪のうち、組織的犯罪処罰法第三条第一項第七号、第九号、第十号（刑法第二百二十五条の二第一項に係る部分に限る。）又は第十四号に規定する罪に係る罪
ニ
組織的犯罪処罰法第六条に規定する罪
ホ
組織的犯罪処罰法第六条の二第一項又は第二項に規定する罪のうち、次に掲げる罪に当たる行為に係る罪
（１）
爆発物取締罰則第三条に規定する罪
（２）
刑法第百七十七条、第二百四条、第二百二十五条、第二百二十六条、第二百二十六条の二第一項、第四項若しくは第五項、第二百二十六条の三、第二百二十七条第一項（第二百二十五条及び第二百二十六条から第二百二十六条の三までに係る部分に限る。）、第三項若しくは第四項、第二百三十五条の二又は第二百三十六条に規定する罪
（３）
労働基準法第百十七条に規定する罪
（４）
職業安定法第六十三条に規定する罪
（５）
児童福祉法第六十条第一項に規定する罪
（６）
金融商品取引法第百九十七条の二第十号の四、第十号の五、第十号の八又は第十号の九に規定する罪
（７）
大麻取締法第二十四条第一項又は第二十四条の二第一項に規定する罪
（８）
競馬法第三十条第三号に規定する罪
（９）
自転車競技法第五十六条第二号に規定する罪
（１０）
小型自動車競走法第六十一条第二号に規定する罪
（１１）
モーターボート競走法第六十五条第二号に規定する罪
（１２）
覚せヽ

いヽ
